codigo,nombres,apellidos,carrera,ciclo,correo
20191409,Sebastián,Sánchez Ramírez,Ingeniería de Software,10,sebastian.sanchez@unmsm.edu.pe
20199935,Rosa Elena,Aguilar Paredes,Ingeniería de Software,10,rosa.aguilar@unmsm.edu.pe
20194582,Silvia,Ccahuana Villanueva,Ciencia de la Computación,10,silvia.ccahuana@unmsm.edu.pe
20209928,Lucero,Ramírez Guzmán,Ingeniería de Software,9,lucero.ramirez@unmsm.edu.pe
20207924,Katherine,Sánchez Rojas,Ingeniería de Sistemas,10,katherine.sanchez@unmsm.edu.pe
20192519,Diana,Flores Chávez,Ciencia de la Computación,9,diana.flores@unmsm.edu.pe
20211711,Sebastián,Guzmán Ticona,Ingeniería de Sistemas,10,sebastian.guzman@unmsm.edu.pe
20195803,Gustavo,Cárdenas Villanueva,Ciencia de la Computación,9,gustavo.cardenas@unmsm.edu.pe
20202139,Ana Lucía,Meza Ramírez,Ingeniería de Software,9,ana.meza@unmsm.edu.pe
20202654,Diana,Sánchez Guzmán,Ingeniería de Software,9,diana.sanchez@unmsm.edu.pe
20216820,Claudia,Meza Sánchez,Ciencia de la Computación,10,claudia.meza@unmsm.edu.pe
20209751,Sebastián,Ramírez Vargas,Ingeniería de Sistemas,9,sebastian.ramirez@unmsm.edu.pe
20214598,Christian,Espinoza Del Águila,Ingeniería de Software,10,christian.espinoza@unmsm.edu.pe
20196168,Diana,Sánchez Huamán,Ciencia de la Computación,10,diana.sanchez@unmsm.edu.pe
20214483,Renzo,Salazar Ríos,Ingeniería de Software,9,renzo.salazar@unmsm.edu.pe
20213287,Silvia,Bustamante Ticona,Ciencia de la Computación,9,silvia.bustamante@unmsm.edu.pe
20227543,Yesenia,Ramírez Rojas,Ingeniería de Software,7,yesenia.ramirez@unmsm.edu.pe
20192796,Patricia,Cárdenas Vargas,Ciencia de la Computación,9,patricia.cardenas@unmsm.edu.pe
20197304,Diana,Villanueva Guzmán,Ciencia de la Computación,9,diana.villanueva@unmsm.edu.pe
20192876,Christian,Ticona Del Águila,Ciencia de la Computación,9,christian.ticona@unmsm.edu.pe
20212827,Jimena,Paredes Vargas,Ingeniería de Software,9,jimena.paredes@unmsm.edu.pe
20219201,Fernando,Vargas Ccahuana,Ciencia de la Computación,10,fernando.vargas@unmsm.edu.pe
20219317,Diego,Castillo Rojas,Ingeniería de Software,9,diego.castillo@unmsm.edu.pe
20196310,José Carlos,Quispe Flores,Ingeniería de Sistemas,9,jose.quispe@unmsm.edu.pe
20201949,Silvia,Aguilar Huamán,Ciencia de la Computación,10,silvia.aguilar@unmsm.edu.pe
20222133,Fernando,Ticona Del Águila,Ingeniería de Software,8,fernando.ticona@unmsm.edu.pe
